REACTION	ROLE	SUBSYSTEM	SOURCE	COMPLEX	MASTER
rxn05537	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	NONE	CHRIS FILE	3002	1
rxn05537	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	NONE	CHRIS FILE	3006	1
rxn10209	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	NONE	CHRIS FILE	1849	1
rxn10209	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	NONE	CHRIS FILE	1883	1
rxn10209	Phosphate:acyl-ACP acyltransferase PlsX	NONE	CHRIS FILE	1849	1
rxn08935	Oligo-1,6-glucosidase (EC 3.2.1.10)	NONE	CHRIS FILE	1007	1
rxn09105	Phosphatidylglycerophosphatase B (EC 3.1.3.27)	NONE	CHRIS FILE	1683	1
rxn09105	Phosphatidylglycerophosphatase A (EC 3.1.3.27)	NONE	CHRIS FILE	1962	1
rxn01333	Transaldolase (EC 2.2.1.2)	NONE	Hope|MATT FILE|CHRIS FILE	1015	1
rxn06440	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	NONE	Hope	100402	0
rxn01927	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)	NONE	Hope|MATT FILE	100403	1
rxn01626	Dihydropyrimidinase (EC 3.5.2.2)	NONE	Hope|MATT FILE	100404	1
rxn08806	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08806	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn00849	D-alanine aminotransferase (EC 2.6.1.21)	NONE	Hope|MATT FILE|CHRIS FILE	1030	1
rxn05560	Phosphocarrier protein of PTS system	NONE	CHRIS FILE	1032	2
rxn05560	PTS system, fructose-specific IID component (EC 2.7.1.69)	NONE	CHRIS FILE	2046	1
rxn05560	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	NONE	CHRIS FILE	1032	2
rxn05560	PTS system, fructose-specific IIABC component (fruA)	NONE	CHRIS FILE	2047	1
rxn05560	PTS system, fructose-specific IIC component (EC 2.7.1.69)	NONE	CHRIS FILE	1032	1
rxn05560	PTS system, fructose-specific IIB component (EC 2.7.1.69)	NONE	CHRIS FILE	1032	1
rxn05560	PTS system, fructose-specific IIA component (EC 2.7.1.69)	NONE	CHRIS FILE	1032	1
rxn02161	Rhamnulokinase (EC 2.7.1.5)	NONE	Hope|MATT FILE|CHRIS FILE	1034	1
rxn06081	Cardiolipin synthetase (EC 2.7.8.-)	NONE	Hope	100405	0
rxn00714	Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	NONE	Hope|MATT FILE	100406	1
rxn08291	D-amino acid dehydrogenase small subunit (EC 1.4.99.1)	NONE	CHRIS FILE	2032	1
rxn02411	octopamine hydrolyase	Aromatic_Amin_Catabolism	Hope|MATT FILE	100407	1
rxn05737	Alkanesulfonate monooxygenase (EC 1.14.14.5)	NONE	CHRIS FILE	1045	1
rxn10188	Hexose phosphate transport protein UhpT	NONE	CHRIS FILE|CHRIS FILE	1642	1
rxn10188	Hexose phosphate transport protein UhpT	NONE	CHRIS FILE|CHRIS FILE	1643	1
rxn05119	L-Aspartate dehydrogenase (EC 1.4.1.21)	NONE	Hope|MATT FILE	100408	1
rxn06865	Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)	NONE	Hope|MATT FILE	100409	1
rxn00090	Glutathione oxidase (EC 1.8.3.3)	Glutathione_Redox_Metabolism_3	Hope|MATT FILE	100410	1
rxn08204	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	NONE	CHRIS FILE	1925	1
rxn00303	GTP pyrophosphokinase (EC 2.7.6.5)	NONE	CHRIS FILE	2046	1
rxn00303	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II	Stringent_Response,_(p)ppGpp_metabolism	Hope|MATT FILE	100411	1
rxn00303	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	Stringent_Response,_(p)ppGpp_metabolism	Hope|MATT FILE|CHRIS FILE	1051	1
rxn02716	Light-dependent protochlorophyllide reductase (EC 1.3.1.33)	NONE	Hope|MATT FILE	100412	1
rxn01434	Argininosuccinate synthase (EC 6.3.4.5)	NONE	Hope|MATT FILE|CHRIS FILE	1055	1
rxn01434	Argininosuccinate synthase (EC 6.3.4.5)	NONE	Hope|MATT FILE|CHRIS FILE	1055	1
rxn00693	Methionine synthase activation domain (EC 2.1.1.13)	NONE	Hope|MATT FILE	100413	1
rxn00693	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	NONE	Hope|MATT FILE	100414	1
rxn00638	GDP-mannose 6-dehydrogenase (EC 1.1.1.132)	NONE	Hope|MATT FILE	100415	1
rxn00122	FMN adenylyltransferase (EC 2.7.7.2)	NONE	Hope|MATT FILE|CHRIS FILE	1060	1
rxn00122	Riboflavin kinase (EC 2.7.1.26)	NONE	CHRIS FILE	1060	1
rxn01116	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1064	1
rxn01116	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1064	1
rxn00470	Ornithine decarboxylase, inducible (EC 4.1.1.17)	NONE	Hope|MATT FILE	100416	1
rxn00470	Ornithine decarboxylase (EC 4.1.1.17)	NONE	Hope|MATT FILE|MATT FILE	100417	1
rxn00470	Ornithine decarboxylase (EC 4.1.1.17)	NONE	Hope|MATT FILE|MATT FILE	100418	1
rxn00470	Ornithine decarboxylase, constitutive (EC 4.1.1.17)	NONE	Hope|MATT FILE	100419	1
rxn05585	Alkanesulfonates-binding protein	NONE	CHRIS FILE	1068	1
rxn05585	Alkanesulfonates transport system permease protein	NONE	CHRIS FILE	1068	1
rxn05585	Alkanesulfonates ABC transporter ATP-binding protein	NONE	CHRIS FILE	1068	1
rxn03908	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	NONE	Hope|MATT FILE|CHRIS FILE	1069	1
rxn03908	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	NONE	Hope|MATT FILE|CHRIS FILE	1069	1
rxn03908	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	NONE	Hope|MATT FILE|CHRIS FILE	1069	1
rxn03908	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	NONE	Hope|MATT FILE|CHRIS FILE	1069	1
rxn05436	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	NONE	CHRIS FILE	1071	1
rxn08551	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	NONE	CHRIS FILE	1849	1
rxn08551	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	NONE	CHRIS FILE	1874	1
rxn08551	Phosphate:acyl-ACP acyltransferase PlsX	NONE	CHRIS FILE	1849	1
rxn08308	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	NONE	CHRIS FILE	1887	1
rxn00409	Nucleoside diphosphate kinase (EC 2.7.4.6)	NONE	Hope|MATT FILE|CHRIS FILE	1085	1
rxn08199	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	NONE	CHRIS FILE	1920	1
rxn06526	Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	NONE	CHRIS FILE	1841	1
rxn08841	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08841	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn06109	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	NONE	Hope	100420	0
rxn01986	Phosphopentomutase (EC 5.4.2.7)	NONE	Hope|MATT FILE|CHRIS FILE	1090	1
rxn01221	dCTP diphosphatase (EC 3.6.1.12)	NONE	Hope|MATT FILE	100421	1
rxn06447	Threonyl-tRNA synthetase (EC 6.1.1.3)	NONE	Hope	100422	0
rxn05207	2-oxoglutarate/malate translocator	NONE	CHRIS FILE	3031	1
rxn05207	Malate Na(+) symporter	NONE	CHRIS FILE|CHRIS FILE	568	1
rxn05207	Malate Na(+) symporter	NONE	CHRIS FILE|CHRIS FILE	1096	1
rxn07434	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	NONE	Hope|MATT FILE|CHRIS FILE	1100	1
rxn07434	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	NONE	Hope|MATT FILE|CHRIS FILE	1100	1
rxn10154	Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate	NONE	CHRIS FILE	1637	1
rxn02213	3-dehydroquinate dehydratase II (EC 4.2.1.10)	NONE	Hope|MATT FILE|MATT FILE	100423	1
rxn02213	3-dehydroquinate dehydratase II (EC 4.2.1.10)	NONE	Hope|MATT FILE|MATT FILE	100424	1
rxn02213	3-dehydroquinate dehydratase (EC 4.2.1.10)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1102	1
rxn02213	3-dehydroquinate dehydratase (EC 4.2.1.10)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1102	1
rxn02213	3-dehydroquinate dehydratase I (EC 4.2.1.10)	NONE	Hope|MATT FILE|MATT FILE	100425	1
rxn02213	3-dehydroquinate dehydratase I (EC 4.2.1.10)	NONE	Hope|MATT FILE|MATT FILE	100426	1
rxn02213	Enolase (EC 4.2.1.11)	NONE	Hope	100427	0
rxn08669	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	NONE	CHRIS FILE	1110	1
rxn08669	Glycerophosphoryl diester phosphodiesterase, periplasmic (EC 3.1.4.46)	NONE	CHRIS FILE	1109	1
rxn02200	Dihydropteroate synthase (EC 2.5.1.15)	NONE	Hope|MATT FILE|CHRIS FILE	1107	1
rxn00853	N-carbamoylputrescine amidase (3.5.1.53)	NONE	Hope|MATT FILE|MATT FILE	100428	1
rxn00853	N-carbamoylputrescine amidase (3.5.1.53)	NONE	Hope|MATT FILE|MATT FILE	100429	1
rxn09164	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	NONE	CHRIS FILE	1852	1
rxn01505	Phosphoacetylglucosamine mutase (EC 5.4.2.3)	UDP-N-acetylmuramate_from_Fructose-6-phosphate_Biosynthesis	Hope|MATT FILE	100430	1
rxn05397	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	NONE	CHRIS FILE	1120	1
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.99.5)	NONE	Hope	100431	0
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.99.5)	NONE	Hope	100432	0
rxn00616	Glycerol-3-phosphate dehydrogenase (EC 1.1.99.5)	NONE	Hope	100433	0
rxn00616	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.99.5)	NONE	Hope	100434	0
rxn00616	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.99.5)	NONE	Hope	100435	0
rxn00616	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.99.5)	NONE	Hope	100436	0
rxn00616	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	NONE	MATT FILE|MATT FILE	100437	1
rxn00616	Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	NONE	MATT FILE	100438	1
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.99.5)	NONE	Hope	100439	0
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.99.5)	NONE	Hope	100440	0
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.99.5)	NONE	Hope	100441	0
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	NONE	MATT FILE|MATT FILE|MATT FILE|MATT FILE|MATT FILE	100442	1
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	NONE	MATT FILE|MATT FILE|MATT FILE	100443	1
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	NONE	MATT FILE|MATT FILE|MATT FILE|MATT FILE	100444	1
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	NONE	MATT FILE|MATT FILE	100445	1
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	NONE	MATT FILE	100446	1
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.99.5)	NONE	Hope	100447	0
rxn00616	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.99.5)	NONE	Hope	100448	0
rxn00616	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	NONE	MATT FILE|MATT FILE|MATT FILE|CHRIS FILE	1124	1
rxn00616	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	NONE	MATT FILE|CHRIS FILE	1124	1
rxn00616	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	NONE	MATT FILE|MATT FILE|CHRIS FILE	1124	1
rxn04308	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1126	1
rxn04308	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1126	1
rxn04308	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	Polyprenyl_Diphosphate_Biosynthesis	MATT FILE|CHRIS FILE	1126	1
rxn04308	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1126	1
rxn04308	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1126	1
rxn10379	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	NONE	CHRIS FILE	1852	1
rxn00123	Pyridoxal phosphatase (EC 3.1.3.74)	Gamma-aminobutyrate_(GABA)_shunt	Hope|MATT FILE	100449	1
rxn01537	Thiaminase II (EC 3.5.99.2)	NONE	Hope|MATT FILE|CHRIS FILE	1128	1
rxn03062	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	NONE	Hope|MATT FILE|CHRIS FILE	1130	1
rxn00869	Acetaldehyde dehydrogenase (acetylating) (EC 1.2.1.10)	NONE	Hope	100450	0
rxn10370	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn10370	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn01973	N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)	NONE	Hope|MATT FILE	100451	1
rxn01171	Aldose 1-epimerase (EC 5.1.3.3)	NONE	Hope|MATT FILE	100452	1
rxn00506	Aldehyde dehydrogenase (EC 1.2.1.3)	NONE	Hope|MATT FILE|CHRIS FILE	1138	1
rxn04384	Adenosylcobinamide-phosphate synthase	NONE	Hope|MATT FILE	100453	1
rxn01388	Predicted Aconitate hydratase (EC 4.2.1.3)	NONE	Hope|MATT FILE	100454	1
rxn01388	Aconitate hydratase large subunit (EC 4.2.1.3)	NONE	Hope|MATT FILE	100455	1
rxn01388	Aconitate hydratase 2 (EC 4.2.1.3)	NONE	Hope|MATT FILE	100456	1
rxn01388	Aconitate hydratase 2 (EC 4.2.1.3)	NONE	Hope|MATT FILE	100457	1
rxn01388	2-methylisocitrate dehydratase (EC 4.2.1.99)	NONE	CHRIS FILE	1137	1
rxn01388	Aconitate hydratase small subunit (EC 4.2.1.3)	NONE	Hope|MATT FILE	100458	1
rxn01388	Aconitate hydratase 1 (EC 4.2.1.3)	NONE	Hope	100459	0
rxn01388	Aconitate hydratase (EC 4.2.1.3)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1137	1
rxn01388	Aconitate hydratase (EC 4.2.1.3)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1137	1
rxn07297	Thiazole biosynthesis protein ThiG	NONE	Hope	100460	0
rxn05421	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	NONE	CHRIS FILE	1143	1
rxn05421	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	NONE	CHRIS FILE	1143	1
rxn05421	3-oxoacyl-[acyl-carrier-protein] synthase, KASI, alternative (EC 2.3.1.41)	NONE	CHRIS FILE	1986	1
rxn01775	D-mannonate oxidoreductase (EC 1.1.1.57)	NONE	Hope|MATT FILE|CHRIS FILE	1145	1
rxn10214	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	NONE	CHRIS FILE	1149	1
rxn01791	Pantoate--beta-alanine ligase (EC 6.3.2.1)	NONE	Hope|MATT FILE|CHRIS FILE	1150	1
rxn05578	glycerol-3-phosphatase transporter	NONE	CHRIS FILE	1667	1
rxn05578	Glycerol-3-phosphate transporter	NONE	CHRIS FILE	1151	1
rxn00222	Beta-glucosidase (EC 3.2.1.21)	NONE	CHRIS FILE	1156	1
rxn03245	Enoyl-CoA hydratase (EC 4.2.1.17)	NONE	CHRIS FILE	1152	1
rxn00020	Periplasmic beta-glucosidase (EC 3.2.1.21)	NONE	Hope|MATT FILE	100461	1
rxn00020	Beta-glucosidase (EC 3.2.1.21)	NONE	Hope|MATT FILE	100462	1
rxn03978	Cytochrome c552 precursor (EC 1.7.2.2)	Nitrate_and_nitrite_ammonification	Hope|MATT FILE	100463	1
rxn03446	Threonine synthase (EC 4.2.3.1)	NONE	CHRIS FILE	1848	1
rxn05593	Major myo-inositol transporter IolT	NONE	CHRIS FILE	1160	1
rxn05593	Minor myo-inositol transporter IolF	NONE	CHRIS FILE	1159	1
rxn02275	Aliphatic amidase amiE (EC 3.5.1.4)	NONE	CHRIS FILE	1162	1
rxn01519	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	NONE	Hope|CHRIS FILE	1163	1
rxn01519	Nucleoside triphosphate pyrophosphohydrolase MazG	NONE	Hope|MATT FILE	100464	1
rxn09996	Teichuronic acid biosynthesis protein TuaF	NONE	CHRIS FILE	1167	1
rxn09996	Teichuronic acid biosynthesis protein TuaE, putative secreted polysaccharide polymerase	NONE	CHRIS FILE	1167	1
rxn09996	Putative teichuronic acid biosynthesis glycosyl transferase TuaH	NONE	CHRIS FILE	1167	1
rxn09996	Putative teichuronic acid biosynthesis glycosyl transferase TuaC	NONE	CHRIS FILE	1167	1
rxn09996	Teichuronic acid biosynthesis protein TuaB	NONE	CHRIS FILE	1167	1
rxn09996	Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase	NONE	CHRIS FILE	1167	1
rxn00029	Porphobilinogen synthase (EC 4.2.1.24)	NONE	Hope|MATT FILE|CHRIS FILE	1168	1
rxn10149	L-carnitine/gamma-butyrobetaine antiporter	NONE	CHRIS FILE	1637	1
rxn03060	2-methylcitrate dehydratase (EC 4.2.1.79)	NONE	Hope|MATT FILE|CHRIS FILE	1169	1
rxn03060	2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)	NONE	Hope|MATT FILE	100465	1
rxn09152	Phospholipase A1 precursor (EC 3.1.1.32, EC 3.1.1.4)	NONE	CHRIS FILE	1852	1
rxn10319	Poly(glycerophosphate chain) D-alanine transfer protein DltD	NONE	CHRIS FILE	2025	1
rxn00242	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	Stringent_Response,_(p)ppGpp_metabolism	Hope|MATT FILE	100466	1
rxn01143	Thymidine kinase (EC 2.7.1.21)	NONE	Hope|MATT FILE|CHRIS FILE	1171	1
rxn01975	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	NONE	Hope|MATT FILE|MATT FILE	100467	1
rxn01975	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	NONE	Hope|MATT FILE|MATT FILE	100468	1
rxn10338	Cardiolipin synthetase (EC 2.7.8.-)	NONE	CHRIS FILE	1173	1
rxn09687	Nucleoside permease NupC	NONE	CHRIS FILE	3069	1
rxn09687	Nucleoside permease NupG	NONE	CHRIS FILE	3068	1
rxn03491	Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	NONE	Hope|MATT FILE	100469	1
rxn03491	Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	NONE	Hope|MATT FILE	100470	1
rxn04413	Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	NONE	Hope|MATT FILE	100471	1
rxn11263	spermidine/putrescine ABC transporter permease protein	NONE	CHRIS FILE	2033	1
rxn01316	N-acetylneuraminate synthase (EC 2.5.1.56)	NONE	Hope|MATT FILE|CHRIS FILE	1185	1
rxn05329	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	Hope|MATT FILE|CHRIS FILE	1187	1
rxn05329	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	NONE	Hope|MATT FILE	100472	1
rxn10263	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	NONE	CHRIS FILE	1189	1
rxn05647	Phosphocarrier protein of PTS system	NONE	CHRIS FILE	1190	2
rxn05647	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	NONE	CHRIS FILE	1190	2
rxn05647	PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	NONE	CHRIS FILE	1190	1
rxn05647	PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69)	NONE	CHRIS FILE	1190	1
rxn05647	PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)	NONE	CHRIS FILE	1190	1
rxn01964	Tryptophan synthase alpha chain (EC 4.2.1.20)	NONE	Hope|MATT FILE|CHRIS FILE	1192	1
rxn01964	Tryptophan synthase beta chain (EC 4.2.1.20)	NONE	Hope|MATT FILE|CHRIS FILE	1192	1
rxn10113	Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)	NONE	CHRIS FILE	2026	1
rxn10113	Succinate dehydrogenase cytochrome b subunit	NONE	CHRIS FILE	2031	1
rxn10113	Succinate dehydrogenase cytochrome b558 subunit	NONE	CHRIS FILE	2031	1
rxn10113	quinol oxidase polypeptide I QoxB (EC:1.9.3.-)	NONE	CHRIS FILE	1680	1
rxn10113	Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	NONE	CHRIS FILE	3064	1
rxn10113	Ubiquinol-cytochrome C reductase complex 6.3 kDa protein (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn10113	Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	NONE	CHRIS FILE	3065	1
rxn10113	quinol oxidase polypeptide III QoxC (EC:1.9.3.-)	NONE	CHRIS FILE	1680	1
rxn10113	Transport ATP-binding protein CydD	NONE	CHRIS FILE	1680	1
rxn10113	Ubiquinol-cytochrome C reductase complex 14 kDa protein (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn10113	Ubiquinol-cytochrome C reductase complex 8.5 kDa protein (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn10113	Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn10113	Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn10113	Putative succinate dehydrogenase cytochrome b subunit	NONE	CHRIS FILE	2031	1
rxn10113	Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	NONE	CHRIS FILE	2026	1
rxn10113	Ubiquinol-cytochrome C reductase complex 6.4 kDa protein (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn10113	Ubiquinol-cytochrome C reductase complex 7.2 kDa protein (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn10113	Succinate dehydrogenase cytochrome b-556 subunit	NONE	CHRIS FILE	2031	1
rxn10113	Cytochrome O ubiquinol oxidase subunit IV (EC 1.10.3.-)	NONE	CHRIS FILE	3066	1
rxn10113	Transport ATP-binding protein CydC	NONE	CHRIS FILE	1680	1
rxn10113	quinol oxidase polypeptide II QoxA (EC:1.9.3.-)	NONE	CHRIS FILE	1680	1
rxn10113	Succinate dehydrogenase cytochrome b560 subunit	NONE	CHRIS FILE	2031	1
rxn10113	Cytochrome O ubiquinol oxidase subunit III (EC 1.10.3.-)	NONE	CHRIS FILE	3067	1
rxn10113	Ubiquinol-cytochrome C reductase complex 11 kDa protein, mitochondrial precursor (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn10113	quinol oxidase polypeptide IV QoxD (EC:1.9.3.-)	NONE	CHRIS FILE	1680	1
rxn10113	Ubiquinol-cytochrome C reductase complex core protein I, mitochondrial precursor (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn10113	Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)	NONE	CHRIS FILE	2030	1
rxn08615	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	NONE	CHRIS FILE	1193	1
rxn00559	Mannose-6-phosphate isomerase, class I (EC 5.3.1.8)	NONE	CHRIS FILE	1680	1
rxn00559	Mannose-6-phosphate isomerase (EC 5.3.1.8)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1194	1
rxn00559	Mannose-6-phosphate isomerase (EC 5.3.1.8)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	1194	1
rxn03919	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase (EC 3.1.1.-)	NONE	Hope|MATT FILE	100473	1
rxn01641	Glutamate formiminotransferase (EC 2.1.2.5)	NONE	Hope|MATT FILE	100474	1
rxn10341	Cardiolipin synthetase (EC 2.7.8.-)	NONE	CHRIS FILE	1199	1
rxn10892	Probable pyrimidine nucleoside transport protein	NONE	CHRIS FILE	1681	1
rxn10892	Pyrimidine nucleoside transporter	NONE	CHRIS FILE	1683	1
rxn10892	Pyrimidine nucleoside transport protein	NONE	CHRIS FILE	1682	1
rxn06831	S-adenosylmethionine:2-demethylmenaquinone methyltransferase (EC 2.1.-.-)	NONE	Hope	100475	0
rxn06831	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE/COQ5 (EC 2.1.1.-)	NONE	Hope	100476	0
rxn00208	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	NONE	Hope|MATT FILE	100477	1
rxn10043	Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	NONE	CHRIS FILE|CHRIS FILE	1210	1
rxn10043	Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	NONE	CHRIS FILE|CHRIS FILE	2036	1
rxn10043	Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	NONE	CHRIS FILE|CHRIS FILE	1210	1
rxn10043	Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	NONE	CHRIS FILE|CHRIS FILE	2036	1
rxn10043	Cytochrome c oxidase, subunit IV (EC 1.9.3.1)	NONE	CHRIS FILE|CHRIS FILE	1210	1
rxn10043	Cytochrome c oxidase, subunit IV (EC 1.9.3.1)	NONE	CHRIS FILE|CHRIS FILE	2036	1
rxn10043	Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	NONE	CHRIS FILE|CHRIS FILE	1210	1
